datasetURL (publicationState),datasetTitle (dataverseName),"fileName (fileType, fileSize)"
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MMNU0S (RELEASED),Carbon foot print of Fertilizer imports to the East African Bloc and Policy recommendations for Decarbonization (Harvard Dataverse),Tanzania-Fertilizer-Statistics-Overview-2017_EN.pdf (application/pdf; 983.33 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MMNU0S (RELEASED),Carbon foot print of Fertilizer imports to the East African Bloc and Policy recommendations for Decarbonization (Harvard Dataverse),Uganda-Fertilizer-Statistics-Overview-2017_EN.pdf (application/pdf; 962.96 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-18_19042020.tar.gz (application/x-gzip; 139.82 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_06042020.tar.gz (application/x-gzip; 60.76 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_07042020.tar.gz (application/x-gzip; 71.5 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_08042020.tar.gz (application/x-gzip; 85.52 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_09042020.tar.gz (application/x-gzip; 98.68 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_10042020.tar.gz (application/x-gzip; 108.78 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_11042020.tar.gz (application/x-gzip; 112.3 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_12042020.tar.gz (application/x-gzip; 122.91 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_13042020.tar.gz (application/x-gzip; 133.6 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_14042020.tar.gz (application/x-gzip; 141.31 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_15042020.tar.gz (application/x-gzip; 141.81 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_16042020.tar.gz (application/x-gzip; 142.01 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_17042020.tar.gz (application/x-gzip; 139.65 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_19042020.tar.gz (application/x-gzip; 139.97 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_20042020.tar.gz (application/x-gzip; 140.19 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_21042020.tar.gz (application/x-gzip; 140.39 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_22042020.tar.gz (application/x-gzip; 140.58 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_23042020.tar.gz (application/x-gzip; 140.87 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_24042020.tar.gz (application/x-gzip; 141.02 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),at-covid-19_25042020.tar.gz (application/x-gzip; 141.14 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),au-covid-19_05042020.tar.gz (application/x-gzip; 3.49 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QKUNGP (RELEASED),Coronavirus Disease 2019 (COVID-19) in Austria (COVID-19 Coronavirus Europe data ),coronadata_ts_latest.json (application/json; 4.66 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",DEGs_notunique_highcov_puncture.tab (text/tab-separated-values; 9.19 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",DEGs_notunique_highcov_sex_immune_MF.tab (text/tab-separated-values; 4.37 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",DEGs_unique_highcov_immune_combo_MF_v2.tab (text/tab-separated-values; 14.36 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",DEGs_unique_highcov_puncture_OF.tab (text/tab-separated-values; 6.53 KB)
